ticker,empresa
AALR3,"ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A."
ABCB4,"BCO ABC BRASIL S.A."
ABEV3,"AMBEV S.A."
AERI3,"AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A"
AFLT3,"AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A"
AGRO3,"BRASILAGRO - CIA BRAS DE PROP AGRICOLAS"
AGXY3,"AGROGALAXY PARTICIPAÇÕES S.A."
AHEB3,"SAO PAULO TURISMO S.A."
ALLD3,"ALLIED TECNOLOGIA S.A."
ALOS3,"ALLOS S.A"
ALPA3,"ALPARGATAS S.A."
ALPA4,"ALPARGATAS S.A."
ALPK3,"ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A"
ALUP11,"ALUPAR INVESTIMENTO S/A"
ALUP3,"ALUPAR INVESTIMENTO S/A"
ALUP4,"ALUPAR INVESTIMENTO S/A"
AMAR3,"MARISA LOJAS S.A."
AMBP3,"AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A"
AMER3,"AMERICANAS S.A"
AMOB3,"AUTOMOB PARTICIPAÇÕES S.A."
ANIM3,"ANIMA HOLDING S.A."
ARML3,"ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A."
ARND3,"ARND3"
ASAI3,"SENDAS DISTRIBUIDORA S.A."
ATED3,"ATOM EDUCAÇÃO E EDITORA S.A."
AUAU3,"UNIÃO PET PARTICIPAÇÕES S.A."
AURE3,"AUREN ENERGIA S.A."
AVLL3,"ALPHAVILLE S.A."
AXIA3,"AXIA3"
AXIA7,"AXIA7"
AZEV3,"AZEVEDO E TRAVASSOS S.A."
AZEV4,"AZEVEDO E TRAVASSOS S.A."
AZTE3,"AZEVEDO & TRAVASSOS ENERGIA S.A."
AZUL3,"AZUL S.A."
AZZA3,"AZZAS 2154 S.A."
B3SA3,"B3 S.A. - BRASIL. BOLSA. BALCÃO"
BALM3,"BAUMER S.A."
BALM4,"BAUMER S.A."
BAZA3,"BCO AMAZONIA S.A."
BBAS3,"BCO BRASIL S.A."
BBDC3,"BCO BRADESCO S.A."
BBDC4,"BCO BRADESCO S.A."
BBSE3,"BB SEGURIDADE PARTICIPAÇÕES S.A."
BDLL3,"BARDELLA S.A. INDUSTRIAS MECANICAS"
BDLL4,"BARDELLA S.A. INDUSTRIAS MECANICAS"
BEEF3,"MINERVA S.A."
BEES3,"BANESTES S.A. - BCO EST ESPIRITO SANTO"
BEES4,"BANESTES S.A. - BCO EST ESPIRITO SANTO"
BGIP3,"BCO ESTADO DE SERGIPE S.A. - BANESE"
BGIP4,"BCO ESTADO DE SERGIPE S.A. - BANESE"
BHIA3,"GRUPO CASAS BAHIA S.A."
BIED3,"BIOMA EDUCAÇÃO S.A."
BIOM3,"BIOMM S.A."
BLAU3,"BLAU FARMACÊUTICA S.A."
BMEB3,"BCO MERCANTIL DO BRASIL S.A."
BMEB4,"BCO MERCANTIL DO BRASIL S.A."
BMGB4,"BANCO BMG S.A."
BMIN3,"BCO MERCANTIL DE INVESTIMENTOS S.A."
BMIN4,"BCO MERCANTIL DE INVESTIMENTOS S.A."
BMKS3,"BICICLETAS MONARK S.A."
BMOB3,"BEMOBI MOBILE TECH S.A."
BNBR3,"BCO NORDESTE DO BRASIL S.A."
BOBR4,"BOMBRIL S.A."
BPAC11,"BCO BTG PACTUAL S.A."
